"Cliente - Nome","Cliente - CNPJ","Cliente - Estado","Cliente - Cidade","rua"
"DMD MAGIC TINTAS LTDA","36234241000142","SP","MARILIA","AV TIRADENTES,864-,17519-000"
"DOMINGUES & FUGANHOLI LTDA","32227678000106","SP","OURINHOS","R DO EXPEDICIONARIO,911-,19900-041"
"DOMINIK COM IND METAIS E EQUIPAMENTOS LTDA","72332794000100","SC","SAO JOSE","ROD BR CENTO E UM,255-KM 206,88113-650"
"DUCASTRO COMERCIO DE TINTAS LTDA","38486287000184","PR","MARINGA","AV JOSE ALVES NENDO,8-,87045-260"
"E S C REGO COMERCIO DE MATERIAIS DE CONSTRUCAO","36005251000106","PA","BELEM","AV CONSELHEIRO FURTADO,1298-,66035-350"
"ECF TINTAS LTDA EPP","65782328000152","SP","SAO PAULO","AV MAL TITO,4837-,08115-100"
"ECF TINTAS LTDA EPP","65782328000152","SP","SAO PAULO","AV MAL TITO,4837-,08115-100"
"ECONOMIZE MAIS TINTAS EIRELI","34713979000167","RJ","RIO DE JANEIRO","EST DO MONTEIRO,468-LJ A,23045-830"
"EDSON CARLOS NOSCHANG JUNIOR LTDA","34745434000132","SC","ITAPEMA","AV TERCEIRA AVENIDA,313-,88220-000"
"EDU TINTAS EIRELLI EPP","20888660000168","SP","GUARULHOS","R JARDIM ALEGRE,219-,07090-220"
"ELETROTINTAS COMERC LTDA","31779903000146","ES","VITORIA","AV  LEITAO DA SILVA,1451-LJ 1,29046-005"
"ELLITE TINTAS LTDA ME","10621066000152","RS","CANOAS","AV  SANTOS FERREIRA,721-,92020-001"
"ENGEFER DISTRIB EIRELI EM RECUPERACAO JUDICIAL","00940525000107","RJ","RIO DE JANEIRO","R S LUIZ GONZAGA,2051-,20910-060"
"ESPINDOLA COMERCIO DE TINTAS EIRELI","34776325000182","SC","BALNEARIO CAMBORIU","R 2500,1130-LOJA FRENTE RUA 2550,88330-394"
"ESTACAO TINTAS LTDA ME","20228381000178","MG","UBERLANDIA","AV  FLORIANO PEIXOTO,3089-,38400-704"
"FERMACO LTDA ME","28126738000119","ES","VITORIA","R GEN OSORIO,168-LJ 1,29010-030"
"FERRAGEM PARATI LTDA EPP","00942872000330","RS","PORTO ALEGRE","AV  SATURNINO DE BRITO,1550-,91320-001"
"FERREIRA COSTA & CIA LTDA","10230480001102","BA","SALVADOR","AV LUIZ VIANNA,6180-SUBS A 1 SUBDIST DE ITAPOAN,41730-101"
"FERREIRA COSTA & CIA LTDA","10230480002699","PB","JOAO PESSOA","RUA EDSON FALCONI DE MELO,555-GALPAO 01,58036-500"
"FERREIRA COSTA & CIA LTDA","10230480001536","PE","RECIFE","AV MAL MASCARENHAS DE MORAES 2629,2967-,51150-905"
