"Cliente - Nome";"Cliente - CNPJ";"Cliente - Estado";"Cliente - Cidade";"rua";"numero";"bairro";"cep (8 digitos)";"CONCAT"
"CRG LOJA DE FERRAGENS LTDA";"11864257000108";"SP";"ITAPECERICA DA SERRA";"ROD JOSE SIMOES LOURO JUNIOR";5000;"CRISPIM";"06.865-800";"ROD JOSE SIMOES LOURO JUNIOR, 5000, CRISPIM, ITAPECERICA DA SERRA"
"COMERCIO E INDUSTRIA SCHADECK S/A";"85378503002606";"SC";"PAPANDUVA";"R PRESIDENTE NEREU RAMOS";3135;"CENTRO";"89.370-000";"R PRESIDENTE NEREU RAMOS, 3135, CENTRO, PAPANDUVA"
"MADEIREIRA A J REIS LTDA - EPP";"87201109000175";"RS";"ELDORADO DO SUL";"AV GETULIO VARGAS";123;"CENTRO";"92.990-000";"AV GETULIO VARGAS, 123, CENTRO, ELDORADO DO SUL"
"SJL MATERIAL DE CONSTRUCAO LTDA";"30817464000156";"RJ";"PETROPOLIS";"EST UNIAO E INDUSTRIA";"SN";"ITAIPAVA";"25.730-735";"EST UNIAO E INDUSTRIA, SN, ITAIPAVA, PETROPOLIS"
"LUMIERE COML LTDA";"4889707000151";"PA";"BELEM";"TV MAURITI";1097;"PEDREIRA";"66.083-000";"TV MAURITI, 1097, PEDREIRA, BELEM"
"NEITZKE E CIA LTDA";"95429148000152";"RS";"SINIMBU";"AV GENERAL FLORES DA CUNHA";571;"CENTRO";"96.890-000";"AV GENERAL FLORES DA CUNHA, 571, CENTRO, SINIMBU"
"7 OLIVEIRAS DISTRIBUIDORA LTDA";"25048171000111";"SP";"SAO PAULO";"R HARRY DANNEMBERG";362;"VILA CARMOSINA";"08.270-010";"R HARRY DANNEMBERG, 362, VILA CARMOSINA, SAO PAULO"
"DEP CACULA JACAREI MATS PARA CONST LTDA";"50467885000101";"SP";"JACAREI";"R JOAO AMERICO DA SILVA";204;"CENTRO";"12.315-310";"R JOAO AMERICO DA SILVA, 204, CENTRO, JACAREI"
"LOEF E CIA LTDA";"89901185000119";"RS";"SAO SEBASTIAO DO CAI";"AV DOUTOR BRUNO CASSEL";1173;"VILA PROGRESSO";"95.760-000";"AV DOUTOR BRUNO CASSEL, 1173, VILA PROGRESSO, SAO SEBASTIAO DO CAI"
"COMERCIAL LUZITANO DA PARADA LTDA";"52766904000126";"SP";"SAO PAULO";"AV CANTIDIO SAMPAIO";1400;"VILA SOUZA";"08.210-040";"AV CANTIDIO SAMPAIO, 1400, VILA SOUZA, SAO PAULO"
"GILBERTO F. DOS PASSOS COMERCIO DE MATERIAIS DE CONSTRUCAO EIRELI";"94380904000133";"RS";"SANTA CRUZ DO SUL";"AV GASPAR BARTOLOMAY";854;"BOM JESUS";"96.815-555";"AV GASPAR BARTOLOMAY, 854, BOM JESUS, SANTA CRUZ DO SUL"
"DEPOSITO DE MATERIAIS PARA CONSTRUCAO SAO FRANCISCO DE ASSIS LTDA";"44774677000152";"SP";"CAMPINAS";"R CORONEL ALFREDO AUGUSTO DO NASCIMENTO";115;"SOUSAS";"13.106-000";"R CORONEL ALFREDO AUGUSTO DO NASCIMENTO, 115, SOUSAS, CAMPINAS"
